Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1024,Antonio Bryant\BryaAn00,2002,21,2-63,DAL,NFL,16,15,93,44,733,16.66,6,45.8,47.3%,7.88
1025,Mark Clayton\ClayMa01,2005,23,1-22,BAL,NFL,14,10,87,44,471,10.70,2,33.6,50.6%,5.41
1026,Chris Conley\ConlCh00,2016,24,3-76,KAN,NFL,16,11,69,44,530,12.05,0,33.1,63.8%,7.68
1027,Vernon Davis\DaviVe00,2016,32,1-6,WAS,NFL,16,14,59,44,583,13.25,2,36.4,74.6%,9.88
1028,Eric Decker\DeckEr00,2011,24,3-87,DEN,NFL,16,13,96,44,612,13.91,8,38.3,45.8%,6.38
1029,Lee Evans\EvanLe00,2009,28,1-13,BUF,NFL,16,16,96,44,612,13.91,7,38.3,45.8%,6.38
1030,Pierre Garcon\GarcPi00,2012,26,6-205,WAS,NFL,10,10,68,44,633,14.39,4,63.3,64.7%,9.31
1031,Ted Ginn\GinnTe00,2015,30,1-9,CAR,NFL,15,13,97,44,739,16.80,10,49.3,45.4%,7.62
1032,Tyreek Hill\HillTy00,2018,24,5-165,KAN,NFL,8,8,65,44,705,16.02,7,88.1,67.7%,10.85
1033,Qadry Ismail\IsmaQa00,2002,32,2-52,IND,NFL,14,14,84,44,462,10.50,3,33.0,52.4%,5.50
1034,Brandon LaFell\LaFeBr00,2012,26,3-78,CAR,NFL,14,12,76,44,677,15.39,4,48.4,57.9%,8.91
1035,Jeremy Maclin\MaclJe00,2016,28,1-19,KAN,NFL,12,12,76,44,536,12.18,2,44.7,57.9%,7.05
1036,Robert Meachem\MeacRo00,2010,26,1-27,NOR,NFL,16,7,66,44,638,14.50,5,39.9,66.7%,9.67
1037,Ty Montgomery\MontTy01,2016,23,3-94,GNB,NFL,15,6,56,44,348,7.91,0,23.2,78.6%,6.21
1038,Josh Morgan\MorgJo00,2010,25,6-174,SFO,NFL,16,11,80,44,698,15.86,2,43.6,55.0%,8.73
1039,Legedu Naanee\NaanLe00,2011,28,5-172,CAR,NFL,15,10,76,44,467,10.61,1,31.1,57.9%,6.14
1040,Dennis Northcutt\NortDe00,2008,31,2-32,JAX,NFL,14,3,68,44,545,12.39,2,38.9,64.7%,8.01
1041,Dennis Northcutt\NortDe00,2007,30,2-32,JAX,NFL,15,11,73,44,601,13.66,4,40.1,60.3%,8.23
1042,Jerome Pathon\PathJe00,2003,28,2-32,NOR,NFL,16,12,80,44,578,13.14,4,36.1,55.0%,7.23
1043,David Patten\PattDa00,2004,30,,NWE,NFL,16,11,95,44,800,18.18,7,50.0,46.3%,8.42
1044,Jerry Porter\PortJe00,2007,29,2-47,OAK,NFL,16,16,102,44,705,16.02,6,44.1,43.1%,6.91
1045,Paul Richardson\RichPa01,2017,25,2-45,SEA,NFL,16,13,80,44,703,15.98,6,43.9,55.0%,8.79
1046,Emmanuel Sanders\SandEm00,2012,25,3-82,PIT,NFL,16,7,75,44,626,14.23,1,39.1,58.7%,8.35
1047,Bobby Shaw\ShawBo00,2002,27,6-169,JAX,NFL,16,10,74,44,525,11.93,1,32.8,59.5%,7.09
1048,Golden Tate\TateGo00,2018,30,2-60,DET,NFL,7,4,69,44,517,11.75,3,73.9,63.8%,7.49
1049,Mike Thomas\ThomMi01,2011,24,4-107,JAX,NFL,15,13,91,44,415,9.43,1,27.7,48.4%,4.56
1050,Markus Wheaton\WheaMa00,2015,24,3-79,PIT,NFL,16,8,79,44,749,17.02,5,46.8,55.7%,9.48
1051,Terrance Williams\WillTe01,2013,24,3-74,DAL,NFL,16,8,74,44,736,16.73,5,46.0,59.5%,9.95
1052,Terrance Williams\WillTe01,2016,27,3-74,DAL,NFL,16,15,61,44,594,13.50,4,37.1,72.1%,9.74
1053,Danny Amendola\AmenDa00,2009,24,,STL,NFL,14,2,63,43,326,7.58,1,23.3,68.3%,5.17
1054,Miles Austin\AustMi00,2011,27,,DAL,NFL,10,10,73,43,579,13.47,7,57.9,58.9%,7.93
1055,Deion Branch\BranDe00,2002,23,2-65,NWE,NFL,13,7,68,43,489,11.37,2,37.6,63.2%,7.19
1056,Reggie Brown\BrowRe01,2005,24,2-35,PHI,NFL,16,11,79,43,571,13.28,4,35.7,54.4%,7.23
1057,Troy Brown\BrowTr00,2006,35,8-198,NWE,NFL,16,9,75,43,384,8.93,4,24.0,57.3%,5.12
