Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
21,Clinton Portis\PortCl00,2005,24,2-51,WAS,NFL,16,16,352,1516,4.31,11,94.8
22,Arian Foster\FostAr00,2012,26,,HOU,NFL,16,16,351,1424,4.06,15,89.0
23,Deuce McAllister\McAlDe00,2003,25,1-23,NOR,NFL,16,16,351,1641,4.68,8,102.6
24,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16,348,2097,6.03,12,131.1
25,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,348,1815,5.22,28,113.4
26,Steven Jackson\JackSt00,2006,23,1-24,STL,NFL,16,16,346,1528,4.42,13,95.5
27,Corey Dillon\DillCo00,2004,30,2-43,NWE,NFL,15,14,345,1635,4.74,12,109.0
28,Fred Taylor\TaylFr00,2003,27,1-9,JAX,NFL,16,16,345,1572,4.56,6,98.3
29,Eddie George\GeorEd00,2002,29,1-14,TEN,NFL,16,16,343,1165,3.40,12,72.8
30,Maurice Jones-Drew\DrewMa00,2011,26,2-60,JAX,NFL,16,16,343,1606,4.68,8,100.4
31,Clinton Portis\PortCl00,2004,23,2-51,WAS,NFL,15,15,343,1315,3.83,5,87.7
32,Clinton Portis\PortCl00,2008,27,2-51,WAS,NFL,16,16,342,1487,4.35,9,92.9
33,Rudi Johnson\JohnRu00,2006,27,4-100,CIN,NFL,16,15,341,1309,3.84,12,81.8
34,Corey Dillon\DillCo00,2001,27,2-43,CIN,NFL,16,16,340,1315,3.87,10,82.2
35,James Stewart\StewJa00,2000,29,1-19,DET,NFL,16,16,339,1184,3.49,10,74.0
36,LaDainian Tomlinson*\TomlLa00,2004,25,1-5,SDG,NFL,15,15,339,1335,3.94,17,89.0
37,LaDainian Tomlinson*\TomlLa00,2005,26,1-5,SDG,NFL,16,16,339,1462,4.31,18,91.4
38,LaDainian Tomlinson*\TomlLa00,2001,22,1-5,SDG,NFL,16,16,339,1236,3.65,10,77.3
39,Edgerrin James\JameEd00,2006,28,1-4,ARI,NFL,16,16,337,1159,3.44,6,72.4
40,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14,337,1458,4.33,12,91.1
41,Willie Parker\ParkWi00,2006,26,,PIT,NFL,16,16,337,1494,4.43,13,93.4
42,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,336,1750,5.21,20,109.4
43,Alfred Morris\MorrAl00,2012,24,6-173,WAS,NFL,16,16,335,1613,4.81,13,100.8
44,Edgerrin James\JameEd00,2004,26,1-4,IND,NFL,16,16,334,1548,4.63,9,96.8
45,Michael Turner\TurnMi00,2010,28,5-154,ATL,NFL,16,15,334,1371,4.10,12,85.7
46,Curtis Martin*\MartCu00,2001,28,3-74,NYJ,NFL,16,16,333,1513,4.54,10,94.6
47,Stephen Davis\DaviSt00,2000,26,4-102,WAS,NFL,15,15,332,1318,3.97,11,87.9
48,Travis Henry\HenrTr00,2003,25,2-58,BUF,NFL,15,15,331,1356,4.10,10,90.4
49,Thomas Jones\JoneTh00,2009,31,1-7,NYJ,NFL,16,16,331,1402,4.24,14,87.6
50,Steven Jackson\JackSt00,2010,27,1-24,STL,NFL,16,16,330,1241,3.76,6,77.6
51,Tiki Barber\BarbTi00,2006,31,2-36,NYG,NFL,16,16,327,1662,5.08,5,103.9
52,Arian Foster\FostAr00,2010,24,,HOU,NFL,16,13,327,1616,4.94,16,101.0
53,Priest Holmes\HolmPr00,2001,28,,KAN,NFL,16,16,327,1555,4.76,8,97.2
54,Adrian Peterson\PeteAd01,2015,30,1-7,MIN,NFL,16,16,327,1485,4.54,11,92.8
55,Shaun Alexander\AlexSh00,2003,26,1-19,SEA,NFL,16,15,326,1435,4.40,14,89.7
56,Travis Henry\HenrTr00,2002,24,2-58,BUF,NFL,16,16,325,1438,4.42,13,89.9
57,Deuce McAllister\McAlDe00,2002,24,1-23,NOR,NFL,15,15,325,1388,4.27,13,92.5
58,Willis McGahee\McGaWi00,2005,24,1-23,BUF,NFL,16,15,325,1247,3.84,5,77.9
59,Clinton Portis\PortCl00,2007,26,2-51,WAS,NFL,16,16,325,1262,3.88,11,78.9
60,Steven Jackson\JackSt00,2009,26,1-24,STL,NFL,15,15,324,1416,4.37,4,94.4
61,Edgerrin James\JameEd00,2007,29,1-4,ARI,NFL,16,16,324,1222,3.77,7,76.4
62,Rashard Mendenhall\MendRa00,2010,23,1-23,PIT,NFL,16,16,324,1273,3.93,13,79.6
63,Curtis Martin*\MartCu00,2003,30,3-74,NYJ,NFL,16,16,323,1308,4.05,2,81.8
64,Tiki Barber\BarbTi00,2004,29,2-36,NYG,NFL,16,14,322,1518,4.71,13,94.9
65,Ezekiel Elliott\ElliEz00,2016,21,1-4,DAL,NFL,15,15,322,1631,5.07,15,108.7
66,Le'Veon Bell\BellLe00,2017,25,2-48,PIT,NFL,15,15,321,1291,4.02,9,86.1
67,Cedric Benson\BensCe00,2010,28,1-4,CIN,NFL,16,16,321,1111,3.46,7,69.4
68,Willie Parker\ParkWi00,2007,27,,PIT,NFL,15,15,321,1316,4.10,2,87.7
69,Priest Holmes\HolmPr00,2003,30,,KAN,NFL,16,16,320,1420,4.44,27,88.8
70,Doug Martin\MartDo00,2012,23,1-31,TAM,NFL,16,16,319,1454,4.56,11,90.9
71,Stephen Davis\DaviSt00,2003,29,4-102,CAR,NFL,14,14,318,1444,4.54,8,103.1
72,Matt Forte\FortMa00,2008,23,2-44,CHI,NFL,16,16,316,1238,3.92,8,77.4
73,Chris Johnson\JohnCh04,2010,25,1-24,TEN,NFL,16,16,316,1364,4.32,11,85.3
74,Curtis Martin*\MartCu00,2000,27,3-74,NYJ,NFL,16,16,316,1204,3.81,9,75.3
75,Corey Dillon\DillCo00,2000,26,2-43,CIN,NFL,16,16,315,1435,4.56,7,89.7
76,Eddie George\GeorEd00,2001,28,1-14,TEN,NFL,16,16,315,939,2.98,5,58.7
