Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
114,Shaun Alexander\AlexSh00,2002,25,1-19,SEA,NFL,16,16,295,1175,3.98,16,73.4,Shaun Alexander,ShaunAlexander25SEA2002,1,71,25-28
115,Robert Smith\SmitRo00,2000,28,1-21,MIN,NFL,16,16,295,1521,5.16,7,95.1,Robert Smith,RobertSmith28MIN2000,1,84,25-28
116,Willis McGahee\McGaWi00,2007,26,1-23,BAL,NFL,15,15,294,1207,4.11,7,80.5,Willis McGahee,WillisMcGahee26BAL2007,1,90,25-28
117,Emmitt Smith*\SmitEm00,2000,31,1-17,DAL,NFL,16,16,294,1203,4.09,9,75.2,Emmitt Smith*,EmmittSmith*31DAL2000,1,56,29-32
118,David Johnson\JohnDa08,2016,25,3-86,ARI,NFL,16,16,293,1239,4.23,16,77.4,David Johnson,DavidJohnson25ARI2016,3,159,25-28
119,DeMarco Murray\MurrDe00,2016,28,3-71,TEN,NFL,16,16,293,1287,4.39,9,80.4,DeMarco Murray,DeMarcoMurray28TEN2016,3,146,25-28
120,Fred Taylor\TaylFr00,2000,24,1-9,JAX,NFL,13,13,292,1399,4.79,12,107.6,Fred Taylor,FredTaylor24JAX2000,1,162,< 24
121,LaDainian Tomlinson*\TomlLa00,2008,29,1-5,SDG,NFL,16,16,292,1110,3.8,11,69.4,LaDainian Tomlinson*,LaDainianTomlinson*29SDG2008,1,127,29-32
122,Ray Rice\RiceRa00,2011,24,2-55,BAL,NFL,16,16,291,1364,4.69,12,85.3,Ray Rice,RayRice24BAL2011,2,132,< 24
123,James Allen\AlleJa00,2000,25,NA,CHI,NFL,16,15,290,1120,3.86,2,70,James Allen,JamesAllen25CHI2000,Undrafted,Undrafted,25-28
124,Le'Veon Bell\BellLe00,2014,22,2-48,PIT,NFL,16,16,290,1361,4.69,8,85.1,Le'Veon Bell,Le'VeonBell22PIT2014,2,125,< 24
125,Thomas Jones\JoneTh00,2008,30,1-7,NYJ,NFL,16,14,290,1312,4.52,13,82,Thomas Jones,ThomasJones30NYJ2008,1,145,29-32
126,Clinton Portis\PortCl00,2003,22,2-51,DEN,NFL,13,13,290,1591,5.49,14,122.4,Clinton Portis,ClintonPortis22DEN2003,2,128,< 24
127,Stevan Ridley\RidlSt00,2012,23,3-73,NWE,NFL,16,12,290,1263,4.36,12,78.9,Stevan Ridley,StevanRidley23NWE2012,3,147,< 24
128,Cadillac Williams\WillCa02,2005,23,1-5,TAM,NFL,14,14,290,1178,4.06,6,84.1,Cadillac Williams,CadillacWilliams23TAM2005,1,127,< 24
129,Matt Forte\FortMa00,2013,28,2-44,CHI,NFL,16,16,289,1339,4.63,9,83.7,Matt Forte,MattForte28CHI2013,2,122,25-28
130,Doug Martin\MartDo00,2015,26,1-31,TAM,NFL,16,16,288,1402,4.87,6,87.6,Doug Martin,DougMartin26TAM2015,1,110,25-28
