Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
126,Zach Ertz\ErtzZa00,2018,28,2-35,PHI,NFL,8,8,84,61,644,10.56,3,80.5,72.6%,7.67,Zach Ertz,ZachErtz28PHI2018,3,100,25-28
127,Jermichael Finley\FinlJe00,2012,25,3-91,GNB,NFL,16,14,87,61,667,10.93,2,41.7,70.1%,7.67,Jermichael Finley,JermichaelFinley25GNB2012,4,141,25-28
128,Dennis Pitta\PittDe00,2012,27,4-114,BAL,NFL,16,5,94,61,669,10.97,7,41.8,64.9%,7.12,Dennis Pitta,DennisPitta27BAL2012,5,11,25-28
129,Shannon Sharpe*\SharSh00,2002,34,7-192,DEN,NFL,13,13,88,61,686,11.25,3,52.8,69.3%,7.8,Shannon Sharpe*,ShannonSharpe*34DEN2002,8,61,32+
130,Jeremy Shockey\ShocJe00,2004,24,1-14,NYG,NFL,15,15,97,61,666,10.92,6,44.4,62.9%,6.87,Jeremy Shockey,JeremyShockey24NYG2004,1,29,< 24
131,L.J. Smith\SmitL.00,2005,25,2-61,PHI,NFL,16,16,107,61,682,11.18,3,42.6,57.0%,6.37,L.J. Smith,L.J.Smith25PHI2005,3,120,25-28
132,Ben Watson\WatsBe00,2017,37,1-32,BAL,NFL,16,12,79,61,522,8.56,4,32.6,77.2%,6.61,Ben Watson,BenWatson37BAL2017,1,98,32+
133,Antonio Gates\GateAn00,2008,28,NA,SDG,NFL,16,16,92,60,704,11.73,8,44,65.2%,7.65,Antonio Gates,AntonioGates28SDG2008,Undrafted,Undrafted,25-28
134,Randy McMichael\McMiRa01,2005,26,4-114,MIA,NFL,16,16,104,60,582,9.7,5,36.4,57.7%,5.6,Randy McMichael,RandyMcMichael26MIA2005,5,11,25-28
135,Heath Miller\MillHe00,2015,33,1-30,PIT,NFL,15,15,81,60,535,8.92,2,35.7,74.1%,6.6,Heath Miller,HeathMiller33PIT2015,1,96,32+
136,Zach Miller\MillZa01,2010,25,2-38,OAK,NFL,15,15,92,60,685,11.42,5,45.7,65.2%,7.45,Zach Miller,ZachMiller25OAK2010,3,102,25-28
137,Greg Olsen\OlseGr00,2009,24,1-31,CHI,NFL,16,15,108,60,612,10.2,8,38.3,55.6%,5.67,Greg Olsen,GregOlsen24CHI2009,1,97,< 24
138,Delanie Walker\WalkHu00,2013,29,6-175,TEN,NFL,15,11,86,60,571,9.52,6,38.1,69.8%,6.64,Delanie Walker,DelanieWalker29TEN2013,7,51,29-32
139,Frank Wycheck\WychFr00,2001,30,6-160,TEN,NFL,16,16,84,60,672,11.2,4,42,71.4%,8,Frank Wycheck,FrankWycheck30TEN2001,7,43,29-32
140,Fred Davis\DaviFr01,2011,25,2-48,WAS,NFL,12,12,88,59,796,13.49,3,66.3,67.0%,9.05,Fred Davis,FredDavis25WAS2011,3,111,25-28
141,Jack Doyle\DoylJa00,2016,26,NA,IND,NFL,16,14,75,59,584,9.9,5,36.5,78.7%,7.79,Jack Doyle,JackDoyle26IND2016,Undrafted,Undrafted,25-28
142,Brandon Pettigrew\PettBr00,2012,27,1-20,DET,NFL,14,11,102,59,567,9.61,3,40.5,57.8%,5.56,Brandon Pettigrew,BrandonPettigrew27DET2012,1,66,25-28
143,Jacob Tamme\TammJa00,2015,30,4-127,ATL,NFL,15,8,81,59,657,11.14,1,43.8,72.8%,8.11,Jacob Tamme,JacobTamme30ATL2015,5,20,29-32
144,Dallas Clark\ClarDa00,2007,28,1-24,IND,NFL,15,15,101,58,616,10.62,11,41.1,57.4%,6.1,Dallas Clark,DallasClark28IND2007,1,85,25-28
145,Charles Clay\ClayCh00,2014,25,6-174,MIA,NFL,14,14,84,58,605,10.43,3,43.2,69.0%,7.2,Charles Clay,CharlesClay25MIA2014,7,50,25-28
