Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
83,Chad Johnson\JohnCh01,2005,27,2-36,CIN,NFL,16,16,155,97,1432,14.76,9,89.5,62.6%,9.24,Chad Johnson,ChadJohnson27CIN2005,3,108,25-28
84,Jordy Nelson\NelsJo00,2016,31,2-36,GNB,NFL,16,16,152,97,1257,12.96,14,78.6,63.8%,8.27,Jordy Nelson,JordyNelson31GNB2016,3,108,29-32
85,Terrell Owens*\OwenTe00,2000,27,3-89,SFO,NFL,14,13,146,97,1451,14.96,13,103.6,66.4%,9.94,Terrell Owens*,TerrellOwens*27SFO2000,4,165,25-28
86,Odell Beckham\BeckOd00,2015,23,1-12,NYG,NFL,15,15,158,96,1450,15.1,13,96.7,60.8%,9.18,Odell Beckham,OdellBeckham23NYG2015,1,19,< 24
87,Cris Carter*\CartCr00,2000,35,4-3,MIN,NFL,16,16,161,96,1274,13.27,9,79.6,59.6%,7.91,Cris Carter*,CrisCarter*35MIN2000,5,101,32+
88,Mike Evans\EvanMi00,2016,23,1-7,TAM,NFL,16,16,173,96,1321,13.76,12,82.6,55.5%,7.64,Mike Evans,MikeEvans23TAM2016,1,145,< 24
89,Larry Fitzgerald\FitzLa00,2008,25,1-3,ARI,NFL,16,16,154,96,1431,14.91,12,89.4,62.3%,9.29,Larry Fitzgerald,LarryFitzgerald25ARI2008,1,101,25-28
90,DeAndre Hopkins\HopkDe00,2017,25,1-27,HOU,NFL,15,15,174,96,1378,14.35,13,91.9,55.2%,7.92,DeAndre Hopkins,DeAndreHopkins25HOU2017,1,98,25-28
91,Calvin Johnson\JohnCa00,2011,26,1-2,DET,NFL,16,16,158,96,1681,17.51,16,105.1,60.8%,10.64,Calvin Johnson,CalvinJohnson26DET2011,1,71,25-28
92,Derrick Mason\MasoDe00,2004,30,4-98,TEN,NFL,16,16,158,96,1168,12.17,7,73,60.8%,7.39,Derrick Mason,DerrickMason30TEN2004,5,174,29-32
93,Marvin Harrison*\HarrMa00,2006,34,1-19,IND,NFL,16,16,148,95,1366,14.38,12,85.4,64.2%,9.23,Marvin Harrison*,MarvinHarrison*34IND2006,1,62,32+
94,Chad Johnson\JohnCh01,2004,26,2-36,CIN,NFL,16,16,170,95,1274,13.41,9,79.6,55.9%,7.49,Chad Johnson,ChadJohnson26CIN2004,3,108,25-28
95,Derrick Mason\MasoDe00,2003,29,4-98,TEN,NFL,16,16,133,95,1303,13.72,8,81.4,71.4%,9.8,Derrick Mason,DerrickMason29TEN2003,5,174,29-32
96,Hines Ward\WardHi00,2009,33,3-92,PIT,NFL,16,16,137,95,1167,12.28,6,72.9,69.3%,8.52,Hines Ward,HinesWard33PIT2009,4,169,32+
97,Hines Ward\WardHi00,2003,27,3-92,PIT,NFL,16,16,156,95,1163,12.24,10,72.7,60.9%,7.46,Hines Ward,HinesWard27PIT2003,4,169,25-28
98,Doug Baldwin\BaldDo00,2016,28,NA,SEA,NFL,16,15,125,94,1128,12,7,70.5,75.2%,9.02,Doug Baldwin,DougBaldwin28SEA2016,Undrafted,Undrafted,25-28
99,Bobby Engram\EngrBo00,2007,34,2-52,SEA,NFL,16,13,134,94,1147,12.2,6,71.7,70.1%,8.56,Bobby Engram,BobbyEngram34SEA2007,3,126,32+
100,Marvin Harrison*\HarrMa00,2003,31,1-19,IND,NFL,15,15,142,94,1272,13.53,10,84.8,66.2%,8.96,Marvin Harrison*,MarvinHarrison*31IND2003,1,62,29-32
101,Torry Holt\HoltTo00,2004,28,1-6,STL,NFL,16,16,135,94,1372,14.6,10,85.8,69.6%,10.16,Torry Holt,TorryHolt28STL2004,1,134,25-28
102,Joe Horn\HornJo00,2000,28,5-135,NOR,NFL,16,16,151,94,1340,14.26,8,83.8,62.3%,8.87,Joe Horn,JoeHorn28NOR2000,6,28,25-28
103,Joe Horn\HornJo00,2004,32,5-135,NOR,NFL,16,16,153,94,1399,14.88,11,87.4,61.4%,9.14,Joe Horn,JoeHorn32NOR2004,6,28,29-32
104,Jarvis Landry\LandJa00,2016,24,2-63,MIA,NFL,16,16,131,94,1136,12.09,4,71,71.8%,8.67,Jarvis Landry,JarvisLandry24MIA2016,3,138,< 24
105,Keenan McCardell\McCaKe00,2000,30,12-326,JAX,NFL,16,16,140,94,1207,12.84,5,75.4,67.1%,8.62,Keenan McCardell,KeenanMcCardell30JAX2000,2,104,29-32
106,Eric Moulds\MoulEr00,2000,27,1-24,BUF,NFL,16,16,164,94,1326,14.11,5,82.9,57.3%,8.09,Eric Moulds,EricMoulds27BUF2000,1,88,25-28
107,Peerless Price\PricPe00,2002,26,2-53,BUF,NFL,16,16,148,94,1252,13.32,9,78.3,63.5%,8.46,Peerless Price,PeerlessPrice26BUF2002,3,127,25-28
108,Demaryius Thomas\ThomDe03,2012,25,1-22,DEN,NFL,16,16,143,94,1434,15.26,10,89.6,65.7%,10.03,Demaryius Thomas,DemaryiusThomas25DEN2012,1,79,25-28
109,Hines Ward\WardHi00,2001,25,3-92,PIT,NFL,16,16,145,94,1003,10.67,4,62.7,64.8%,6.92,Hines Ward,HinesWard25PIT2001,4,169,25-28
110,Kendall Wright\WrigKe01,2013,24,1-20,TEN,NFL,16,12,139,94,1079,11.48,2,67.4,67.6%,7.76,Kendall Wright,KendallWright24TEN2013,1,72,< 24
111,Dez Bryant\BryaDe01,2013,25,1-24,DAL,NFL,16,16,159,93,1233,13.26,13,77.1,58.5%,7.75,Dez Bryant,DezBryant25DAL2013,1,88,25-28
112,Torry Holt\HoltTo00,2006,30,1-6,STL,NFL,16,16,179,93,1188,12.77,10,74.3,52.0%,6.64,Torry Holt,TorryHolt30STL2006,1,134,29-32
113,Torry Holt\HoltTo00,2007,31,1-6,STL,NFL,16,16,149,93,1189,12.78,7,74.3,62.4%,7.98,Torry Holt,TorryHolt31STL2007,1,134,29-32
114,Chad Johnson\JohnCh01,2007,29,2-36,CIN,NFL,16,16,161,93,1440,15.48,8,90,57.8%,8.94,Chad Johnson,ChadJohnson29CIN2007,3,108,29-32
115,Keenan McCardell\McCaKe00,2001,31,12-326,JAX,NFL,16,16,145,93,1110,11.94,6,69.4,64.1%,7.66,Keenan McCardell,KeenanMcCardell31JAX2001,2,104,29-32
116,Santana Moss\MossSa00,2010,31,1-16,WAS,NFL,16,16,145,93,1115,11.99,6,69.7,64.1%,7.69,Santana Moss,SantanaMoss31WAS2010,1,47,29-32
117,Muhsin Muhammad\MuhaMu00,2004,31,2-43,CAR,NFL,16,16,160,93,1405,15.11,16,87.8,58.1%,8.78,Muhsin Muhammad,MuhsinMuhammad31CAR2004,3,116,29-32
118,Terrell Owens*\OwenTe00,2001,28,3-89,SFO,NFL,16,16,155,93,1412,15.18,16,88.3,60.0%,9.11,Terrell Owens*,TerrellOwens*28SFO2001,4,165,25-28
119,Dez Bryant\BryaDe01,2012,24,1-24,DAL,NFL,16,14,138,92,1382,15.02,12,86.4,66.7%,10.01,Dez Bryant,DezBryant24DAL2012,1,88,< 24
120,Donald Driver\DrivDo00,2006,31,7-213,GNB,NFL,16,16,173,92,1295,14.08,8,80.9,53.2%,7.49,Donald Driver,DonaldDriver31GNB2006,8,77,29-32
121,Julian Edelman\EdelJu00,2014,28,7-232,NWE,NFL,14,13,134,92,972,10.57,4,69.4,68.7%,7.25,Julian Edelman,JulianEdelman28NWE2014,8,84,25-28
122,T.J. Houshmandzadeh\HousTJ00,2008,31,7-204,CIN,NFL,15,15,137,92,904,9.83,4,60.3,67.2%,6.6,T.J. Houshmandzadeh,T.J.Houshmandzadeh31CIN2008,8,73,29-32
123,Jerry Rice*\RiceJe00,2002,40,1-16,OAK,NFL,16,16,150,92,1211,13.16,7,75.7,61.3%,8.07,Jerry Rice*,JerryRice*40OAK2002,1,47,32+
124,Golden Tate\TateGo00,2017,29,2-60,DET,NFL,16,12,120,92,1003,10.9,5,62.7,76.7%,8.36,Golden Tate,GoldenTate29DET2017,3,135,29-32
125,Demaryius Thomas\ThomDe03,2013,26,1-22,DEN,NFL,16,16,142,92,1430,15.54,14,89.4,64.8%,10.07,Demaryius Thomas,DemaryiusThomas26DEN2013,1,79,25-28
126,Michael Thomas\ThomMi05,2016,23,2-47,NOR,NFL,15,12,121,92,1137,12.36,9,75.8,76.0%,9.4,Michael Thomas,MichaelThomas23NOR2016,3,120,< 24
127,Roddy White\WhitRo00,2012,31,1-27,ATL,NFL,16,15,142,92,1351,14.68,7,84.4,64.8%,9.51,Roddy White,RoddyWhite31ATL2012,1,98,29-32
128,Odell Beckham\BeckOd00,2014,22,1-12,NYG,NFL,12,11,130,91,1305,14.34,12,108.8,70.0%,10.04,Odell Beckham,OdellBeckham22NYG2014,1,19,< 24
129,Tim Brown*\BrowTi00,2001,35,1-6,OAK,NFL,16,16,140,91,1165,12.8,9,72.8,65.0%,8.32,Tim Brown*,TimBrown*35OAK2001,1,134,32+
130,Randall Cobb\CobbRa00,2014,24,2-64,GNB,NFL,16,16,127,91,1287,14.14,12,80.4,71.7%,10.13,Randall Cobb,RandallCobb24GNB2014,3,139,< 24
131,Laveranues Coles\ColeLa00,2006,29,3-78,NYJ,NFL,16,16,152,91,1098,12.07,6,68.6,59.9%,7.22,Laveranues Coles,LaveranuesColes29NYJ2006,4,153,29-32
132,T.Y. Hilton\HiltT.00,2016,27,3-92,IND,NFL,16,16,155,91,1448,15.91,6,90.5,58.7%,9.34,T.Y. Hilton,T.Y.Hilton27IND2016,4,169,25-28
133,Torry Holt\HoltTo00,2002,26,1-6,STL,NFL,16,11,160,91,1302,14.31,4,81.4,56.9%,8.14,Torry Holt,TorryHolt26STL2002,1,134,25-28
134,Eddie Royal\RoyaEd00,2008,22,2-42,DEN,NFL,15,15,129,91,980,10.77,5,65.3,70.5%,7.6,Eddie Royal,EddieRoyal22DEN2008,3,115,< 24
135,Jimmy Smith\SmitJi00,2000,31,2-36,JAX,NFL,15,14,145,91,1213,13.33,8,80.9,62.8%,8.37,Jimmy Smith,JimmySmith31JAX2000,3,108,29-32
136,Golden Tate\TateGo00,2016,28,2-60,DET,NFL,16,16,135,91,1077,11.84,4,67.3,67.4%,7.98,Golden Tate,GoldenTate28DET2016,3,135,25-28
137,Adam Thielen\ThieAd00,2017,27,NA,MIN,NFL,16,16,142,91,1276,14.02,4,79.8,64.1%,8.99,Adam Thielen,AdamThielen27MIN2017,Undrafted,Undrafted,25-28
